dataset,size,algorithm,min_s,median_s,max_s,status
random,100,insertion,0.000155,0.000166,0.000193,ok
random,100,merge,0.000144,0.000146,0.000174,ok
random,100,timsort(sorted),0.000005,0.000005,0.000009,ok
random,300,insertion,0.001450,0.001527,0.001700,ok
random,300,merge,0.000486,0.000487,0.000598,ok
random,300,timsort(sorted),0.000019,0.000020,0.000029,ok
random,1000,insertion,0.018165,0.018467,0.020403,ok
random,1000,merge,0.001883,0.002028,0.002350,ok
random,1000,timsort(sorted),0.000111,0.000116,0.000137,ok
random,3000,insertion,0.177537,0.187103,0.200658,ok
random,3000,merge,0.006356,0.006426,0.006676,ok
random,3000,timsort(sorted),0.000391,0.000391,0.000396,ok
random,10000,insertion,,,,skipped
random,10000,merge,0.024139,0.024240,0.024265,ok
random,10000,timsort(sorted),0.001539,0.001539,0.001563,ok
sorted,100,insertion,0.000009,0.000009,0.000010,ok
sorted,100,merge,0.000113,0.000114,0.000117,ok
sorted,100,timsort(sorted),0.000002,0.000002,0.000002,ok
sorted,300,insertion,0.000027,0.000027,0.000028,ok
sorted,300,merge,0.000375,0.000376,0.000388,ok
sorted,300,timsort(sorted),0.000003,0.000003,0.000004,ok
sorted,1000,insertion,0.000105,0.000106,0.000107,ok
sorted,1000,merge,0.001382,0.001432,0.001477,ok
sorted,1000,timsort(sorted),0.000010,0.000010,0.000011,ok
sorted,3000,insertion,0.000318,0.000320,0.000327,ok
sorted,3000,merge,0.004550,0.004562,0.004763,ok
sorted,3000,timsort(sorted),0.000029,0.000029,0.000030,ok
sorted,10000,insertion,0.001089,0.001094,0.001212,ok
sorted,10000,merge,0.016596,0.016718,0.017018,ok
sorted,10000,timsort(sorted),0.000102,0.000103,0.000105,ok
reversed,100,insertion,0.000318,0.000329,0.000335,ok
reversed,100,merge,0.000119,0.000119,0.000122,ok
reversed,100,timsort(sorted),0.000002,0.000002,0.000002,ok
reversed,300,insertion,0.002880,0.002890,0.002904,ok
reversed,300,merge,0.000391,0.000391,0.000398,ok
reversed,300,timsort(sorted),0.000003,0.000003,0.000004,ok
reversed,1000,insertion,0.036271,0.036643,0.038229,ok
reversed,1000,merge,0.001400,0.001415,0.001456,ok
reversed,1000,timsort(sorted),0.000010,0.000010,0.000011,ok
reversed,3000,insertion,0.346781,0.348999,0.356494,ok
reversed,3000,merge,0.004665,0.004675,0.004717,ok
reversed,3000,timsort(sorted),0.000030,0.000030,0.000031,ok
reversed,10000,insertion,,,,skipped
reversed,10000,merge,0.017211,0.017282,0.017461,ok
reversed,10000,timsort(sorted),0.000107,0.000107,0.000113,ok
nearly_sorted,100,insertion,0.000017,0.000018,0.000027,ok
nearly_sorted,100,merge,0.000123,0.000125,0.000147,ok
nearly_sorted,100,timsort(sorted),0.000003,0.000003,0.000004,ok
nearly_sorted,300,insertion,0.000040,0.000040,0.000042,ok
nearly_sorted,300,merge,0.000390,0.000394,0.000412,ok
nearly_sorted,300,timsort(sorted),0.000005,0.000005,0.000006,ok
nearly_sorted,1000,insertion,0.000620,0.000621,0.000632,ok
nearly_sorted,1000,merge,0.001549,0.001560,0.001568,ok
nearly_sorted,1000,timsort(sorted),0.000019,0.000020,0.000023,ok
nearly_sorted,3000,insertion,0.004803,0.004831,0.004885,ok
nearly_sorted,3000,merge,0.005377,0.005401,0.005468,ok
nearly_sorted,3000,timsort(sorted),0.000057,0.000058,0.000069,ok
nearly_sorted,10000,insertion,0.056012,0.056824,0.060066,ok
nearly_sorted,10000,merge,0.020718,0.020974,0.021460,ok
nearly_sorted,10000,timsort(sorted),0.000225,0.000251,0.000282,ok
many_dups,100,insertion,0.000150,0.000164,0.000184,ok
many_dups,100,merge,0.000138,0.000155,0.000160,ok
many_dups,100,timsort(sorted),0.000004,0.000004,0.000008,ok
many_dups,300,insertion,0.001441,0.001457,0.001504,ok
many_dups,300,merge,0.000471,0.000483,0.000491,ok
many_dups,300,timsort(sorted),0.000015,0.000017,0.000025,ok
many_dups,1000,insertion,0.018091,0.018284,0.019147,ok
many_dups,1000,merge,0.001863,0.001867,0.001896,ok
many_dups,1000,timsort(sorted),0.000096,0.000097,0.000105,ok
many_dups,3000,insertion,0.176705,0.179053,0.183233,ok
many_dups,3000,merge,0.006335,0.006481,0.007040,ok
many_dups,3000,timsort(sorted),0.000339,0.000359,0.000385,ok
many_dups,10000,insertion,2.027254,2.067977,2.095483,ok
many_dups,10000,merge,0.025056,0.025283,0.025499,ok
many_dups,10000,timsort(sorted),0.001162,0.001210,0.001311,ok
